Sample_ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06	S3P1_E06	S3P1_C06	S3P1_B06	S3P1_G06	S3P1_H06	S3P1_F06	S3P1_B07	S3P1_E07	S3P1_C07	S3P1_H07	S3P1_G07	S3P1_F07	S3P1_E08	S3P1_C08	S3P1_D08	S3P1_F08	S3P1_G08	S3P1_A09	S3P1_H08	S3P1_E09	S3P1_D09	S3P1_B09	S3P1_C09	S3P1_H09	S3P1_F09	S3P1_G09	S3P1_A10
LOC100912608_9111	0	0	0	0.102626844868751	0.0599608382244499	0	0.185692756089178	0.172953833628914	0.147671708090701	0.176214158942041	0.156764211775286	0.0791048029749236	0.0745075243731736	0.0677412501435912	0.209372717318199	0.169427671197128	0.193035309776359	0.117404102654452	0.059393531677794	0.143422416008865	0	0.0672685029351215	0.125156774637864	0	0.194924823442898	0	0.0873882454774224	0.0745905308742602	0	0	0.167589073683037
ALB_8020	15.9585205653296	15.1610374244343	15.8067276306668	15.652177269256	15.4357577251878	15.384628652669	15.4572913662448	15.655033198858	15.2448540009943	15.4360002868927	15.8887114180757	15.8855159781953	15.9530595327655	15.3931058373461	15.8325873795664	15.912624804469	15.4327014850844	15.4921322476929	16.0373061241965	15.6346273722334	15.6761687435997	15.2414667797085	14.9504525060164	15.3246741256358	15.3156764089948	15.2906280904191	14.9070477720154	13.747581308524	14.4783193636235	14.5846819134637	14.567613279152
COL6A3_33029	1.55632556853405	1.97607994825228	1.43911669702737	2.07283025692134	2.41376230296309	1.325723072498	1.47804962575772	2.23068436593629	2.51258182819064	1.91514551201146	1.64316544633092	2.14994347872305	2.13491009297666	1.54743965539027	2.3614630039198	1.45658094906366	1.22417547726612	1.47529532635272	1.12219138606109	1.03225745010457	1.56771012353036	1.25350648807671	1.09276764486443	0.992741215949562	1.0766238028745	0.814936041666895	0.699951906696913	1.08018305116136	0.887014829947273	1.1165611551602	0.989458411046074
CML1_33145	0	0.152412304862433	0.115686031597597	0.102626844868751	0.117528727238864	0.147454157095634	0.185692756089178	0.252229743483307	0.100107722814622	0.119834167991625	0	0.225382396770072	0	0.194368821845883	0.392175325109866	0	0.0672561105566661	0.0598959905521768	0.059393531677794	0.0734927283475872	0.294728867125047	0	0.183885825677314	0	0.0679436110948202	0	0	0.0745905308742602	0.0913061818480473	0.256667541263681	0.167589073683037
ARHGAP11A_8079	0.0849587940384604	0.103375720155579	0.0590022761978436	0.151326404452511	0	0	0	0	0.100107722814622	0.23047345678713	0.0805103222531584	0.225382396770072	0.212886257469417	0.194368821845883	0.108481211143133	0	0.0672561105566661	0.0598959905521768	0.116438299578217	0.210118629998141	0.105076572288869	0.193069382695898	0.0639351630295719	0.16831509159147	0.0679436110948202	0.186551303341717	0.0873882454774224	0.145513414741733	0	0	0.0862266447668511
STEAP4_32408	2.25119241431896	1.87744255678452	2.29984155132798	2.15871044856766	1.71879912441713	1.98526837892539	1.59199390749895	1.90239517080383	1.79865007405977	1.75778013502287	2.43807571506697	2.18612929240853	2.18621595493176	1.93975111787767	2.14928475041964	2.18632598536151	1.6759138294756	1.90896256040667	1.97890365090008	2.11926001650114	2.06114090572122	1.6323466731881	1.76621155976221	2.19805842600421	1.84958348847263	2.19819261886485	2.08649279522377	1.3441474396481	1.82702093199063	1.73837455448548	1.93852616696712
MSN_9253	4.42233793694034	3.63257374229553	3.71216335357493	3.75846751347608	4.03230910458316	4.01074897273276	3.81244517961004	4.40078143606939	3.58850610397922	3.88469390231454	4.27541247204109	4.18063783052466	4.1191462253798	3.50284156632887	3.99237892872309	3.97879528788583	3.61054588658619	3.94208432301343	4.0920851686683	4.00929860704407	4.21163074850385	3.29020662642452	3.36305748452412	4.29906448963302	3.51296573291684	3.83307656865345	3.70618764028935	3.89746049912111	4.07692063510736	3.87086872738498	3.83206399796545
IGSF6_8886	0.447785131445176	0.152412304862433	0.32247094889704	0.331181809745778	0.327255964603786	0.147454157095634	0.450275653375201	0.327375422793797	0.281621673059787	0.23047345678713	0.426910963302961	0.420265896711575	0.212886257469417	0.194368821845883	0.108481211143133	0.583469995366309	0.131516010075344	0.277333800283864	0.059393531677794	0.0734927283475872	0.105076572288869	0.252081854721424	0.125156774637864	0.0866107598262379	0	0.0962888638528266	0.0873882454774224	0	0.258220794778813	0	0.167589073683037
MYH1_33199	0	0	0	0.102626844868751	0	0	0	0.0890671327114605	0	0	0	0	0	0.0677412501435912	0	0.169427671197128	0	0	0	0.0734927283475872	0	0	0	0	0.132830824468992	0	0.0873882454774224	0	0.177176070519461	0	0.0862266447668511
CXCL12_32815	5.95045485951535	6.32061055625399	6.12247900295999	6.04175789721348	6.49646911600363	6.4462260549359	5.99595187235616	6.71851768396403	6.32908966673732	6.76535025548049	6.36726687414724	6.32736117064752	6.80374604004186	6.60141268648022	6.49850813734024	6.46419257464466	6.55986554206034	6.36736285483177	6.26336956836357	5.85319265550424	6.23249860223691	6.08168227518875	6.20501850707631	6.25826470313269	6.04339626137236	6.13253683738702	5.86448638336796	5.71925179618446	5.85401606673806	6.00198095762977	5.77201398987661
FZD8_32801	0.241196274545049	0.245751839679001	0.115686031597597	0.198435601671435	0.2262000492386	0.281225125708806	0.297412492100168	0.531843224033802	0.100107722814622	0.282765831749767	0.426910963302961	0.358184460759789	0.145355361472459	0.0677412501435912	0.209372717318199	0.522199295088376	0.415817857422246	0.374882855015437	0.462836206604175	0.393489349413505	0.294728867125047	0.13153971501225	0.183885825677314	0.388865413460599	0.254456196207255	0.351718842907662	0.699951906696913	0	0.0913061818480473	0.256667541263681	0.453691211803265
LPAR2_9151	0.683987852901862	0.604061331492061	0.875702581737397	0.942295994419956	0.919291822263953	1.09081186868779	0.714599200343982	1.26364002660747	0.781179170848772	0.683714127821217	1.14093049694464	1.01043791529718	0.710188875394711	0.861769797911586	1.11861903274408	1.31924047254544	1.00156029441689	1.51862918033064	0.741956244468631	1.20572249345113	0.93101559267354	0.966889699013686	0.824012656200388	0.58012737160743	0.901484472244742	0.757194093252249	0.953582585338744	0.339491519958858	0.835124746788039	1.05028382399377	0.746303879519476
GRIA2_33071	0.16519147994431	0.152412304862433	0.115686031597597	0.198435601671435	0	0.075610123003357	0.0645899535134604	0	0.0509219889395351	0.061160945405698	0.0805103222531584	0.154096726722574	0.277396955147865	0	0	0.0871995701237366	0	0.0598959905521768	0.171313025801779	0.143422416008865	0.105076572288869	0.13153971501225	0.0639351630295719	0.16831509159147	0	0	0	0.0745905308742602	0.177176070519461	0	0.244606904511648
ADHFE1_7993	3.57511145260872	3.24876890367062	3.62698337395596	3.61826066678046	3.738692394773	3.93664322393295	3.8311307833603	3.7732316853315	3.6183559361995	3.54263252338953	4.30921820159284	3.98910841424976	4.23737354826587	3.901262794136	4.41833773742538	4.29952587161752	4.08229238380585	4.4583394160839	4.56394471074481	4.8894288983701	4.45964866139655	4.07847814056324	4.19452933593589	4.77387770552771	4.50766135833013	4.83834702886912	5.03768894295802	3.96764290528255	4.45761412497355	4.62398253260132	4.57217959017551
GAA_8675	4.09374805258739	2.77216237036761	3.28783650571593	3.67765192511712	3.93559413292649	3.78722047907786	3.00922171194204	3.20398411256611	2.87245594179557	3.22617873002715	3.46513872651136	3.22367421233717	3.46862105349357	4.19430886882226	3.54827601766255	3.47165473531285	3.49926864288054	3.5567009422901	3.5557024535014	3.88722601719926	3.90467896487131	4.36913246763046	4.77225113734143	5.26427202148454	4.00406171118723	4.36951562870213	4.30257635759677	4.65514128248428	4.5650483349437	4.93071144934582	4.64856197348103
